time_s,target_m_s2,ordinary_ramp_output_m_s2
0.0,-0.5,-0.5
0.04,-0.5,-0.5
0.08,-0.5,-0.5
0.12,-0.5,-0.5
0.16,-0.5,-0.5
0.2,-0.5,-0.5
0.24,-0.5,-0.5
0.28,-0.5,-0.5
0.32,-0.5,-0.5
0.36,-0.5,-0.5
0.4,-3.0,-0.7
0.44,-3.0,-0.9
0.48,-3.0,-1.1
0.52,-3.0,-1.3
0.56,-3.0,-1.5
0.6,-3.0,-1.7
0.64,-3.0,-1.9
0.68,-3.0,-2.1
0.72,-3.0,-2.3
0.76,-3.0,-2.5
0.8,-3.0,-2.7
0.84,-3.0,-2.9
0.88,-3.0,-3.0
0.92,-3.0,-3.0
0.96,-3.0,-3.0
1.0,-3.0,-3.0
1.04,-3.0,-3.0
1.08,-3.0,-3.0
1.12,-3.0,-3.0
1.16,-3.0,-3.0
1.2,-3.0,-3.0
1.24,-3.0,-3.0
1.28,-3.0,-3.0
1.32,-3.0,-3.0
1.36,-3.0,-3.0
1.4,-1.0,-2.8
1.44,-1.0,-2.6
1.48,-1.0,-2.4
1.52,-1.0,-2.2
1.56,-1.0,-2.0
1.6,-1.0,-1.8
1.64,-1.0,-1.6
1.68,-1.0,-1.4
1.72,-1.0,-1.2
1.76,-1.0,-1.0
1.8,-1.0,-1.0
1.84,-1.0,-1.0
1.88,-1.0,-1.0
1.92,-1.0,-1.0
1.96,-1.0,-1.0
2.0,-1.0,-1.0
2.04,-1.0,-1.0
2.08,-1.0,-1.0
2.12,-1.0,-1.0
2.16,-1.0,-1.0
2.2,-1.0,-1.0
2.24,-1.0,-1.0
2.28,-1.0,-1.0
2.32,-1.0,-1.0
2.36,-1.0,-1.0
2.4,-1.0,-1.0
2.44,-1.0,-1.0
2.48,-1.0,-1.0
2.52,-1.0,-1.0
2.56,-1.0,-1.0
2.6,-1.0,-1.0
